alpha,beta,gamma,D,coherence,entropy
0.09372927939596079,0.08105000901656835,0.6587223755172991,0.9075788124759628,9.321018446790289e-05,0.01675871912282217
0.06768667188105079,0.08631629216312785,0.34697616983470225,0.8618623917638921,0.00010862361923717936,0.024127724065734598
0.08038435007717042,0.0981876612427133,0.8323958965163536,0.7795055762244709,0.00010013272120122053,0.02049636255785408
0.10006450326461055,0.08744159628631037,0.3885063254259125,0.9496264034660301,0.00010654734820660338,0.022863578017729827
0.0951432010620617,0.10235905468455858,0.3203326519183328,0.9416968702116363,0.0001026639905373628,0.02218556012607563
0.0631005153150197,0.1118768432760516,0.7558741646945858,0.6916842851138998,0.00010098743662093257,0.020562366250613473
0.07764331349281642,0.11322324282819629,0.5450002650236739,0.9127460176862234,9.967237808204431e-05,0.019256934172378407
0.05268160215857449,0.08772114505988608,0.86502938526686,0.8916226975621224,8.922941046547842e-05,0.01583835088494376
0.05048086527173164,0.11284399360247185,0.596448828290508,0.7930613999974648,0.00010256016729867953,0.02066233493217745
0.08252017024362962,0.08185922554248927,0.7356454484484664,0.6540710940410858,9.439822897786523e-05,0.017383665929550308
0.09854062907086486,0.10119988604089741,0.5277327897367917,0.694943771747061,9.799888763007595e-05,0.0186259237613487
0.08814677196987497,0.10643417139560422,0.4315476125968032,0.8929304710079855,0.00010442593993640425,0.021512577143334405
0.09756083892817263,0.11207947072183252,0.5012604771285945,0.7664445831865978,0.0001061870522442541,0.022512132709631216
0.1027330559608936,0.08764712613727194,0.7136492713244136,0.6416310372184858,9.548840805021363e-05,0.017735353596400612
0.10436511989743316,0.10304200098730878,0.6508908908766817,0.8641950274719397,0.00010200988356671051,0.02088026300397584
0.10304424562692459,0.09005469541321068,0.7953798139249096,0.984633783945347,9.010560409219722e-05,0.015965443791137023
0.10663962833417559,0.11578145365147754,0.6783349489243865,0.98203786237242,9.493048000832902e-05,0.017380898811843515
0.10536367413150521,0.08852270582932999,0.762941186564843,0.7231686682530833,9.815015780664854e-05,0.01903697751567232
0.08099008621634872,0.0944520196015053,0.47208421438071585,0.7400556321062615,9.570959529605034e-05,0.018346716668163718
0.07060234159168732,0.08055692004188915,0.7544922146745954,0.7588731900511909,9.135455840190476e-05,0.01647128817141872
0.08532743584208838,0.1009804734737719,0.31783678691140244,0.9762967612593028,0.00011276209845260906,0.02655560578197057
0.09300694275586846,0.08000247442854493,0.7151418670984964,0.7045292072641979,9.365732882605437e-05,0.017023290236450408
0.07329705569980419,0.09965233243920593,0.8098647353813244,0.6721447922771004,9.292260062161642e-05,0.016994277435572556
0.07630344901097562,0.10901266148148239,0.34037770530814954,0.6273689527492381,0.00011505725835200749,0.02807022459898093
0.0854683983282061,0.11997201051720785,0.45328518156698294,0.7802765554969217,0.00010418336329309747,0.02124697230234458
0.08626469908604806,0.09761154982993424,0.8289844602284182,0.9289042820787359,9.675673438830672e-05,0.018585034652562192
0.07023204933530929,0.0928963681946215,0.7942658956892461,0.7856867283885258,9.180467826281927e-05,0.01657551766845657
0.11928896086697416,0.0961889540064401,0.6285567132200968,0.7657775604626342,9.667523931272277e-05,0.018157256303578926
0.08693128928157731,0.08732911885030042,0.5902157487758363,0.8864192797458244,9.269748062427701e-05,0.01686432023534585
0.085173647059647,0.10139243334058948,0.49950155454431233,0.913159134601681,0.00010594573296271699,0.022843706755648008
0.08527806193276427,0.08828786276686922,0.6486486648296783,0.826710581761762,9.237420070147864e-05,0.016413819720801213
0.06478369573523221,0.10894660158571794,0.541231217898449,0.8635293403358932,9.649684804365531e-05,0.01791884484049216
0.10260446493737052,0.08603818644248522,0.48051855467768395,0.7035684602446348,0.0001028286738213445,0.02039895028773877
0.10185618231563334,0.09259996244821567,0.8144276865515225,0.7333694691383887,9.626550925234959e-05,0.018217499211429133
0.08263346323412568,0.114912350003226,0.4118122149466025,0.9044500958771349,0.0001009769902602894,0.0202074116590443
0.09728726169024556,0.11922690628666902,0.5014858784242121,0.8100590470902636,9.885956388267697e-05,0.01903478158232407
0.10138244988293868,0.08913695817737878,0.7488718080982124,0.881632165804207,9.172601747372864e-05,0.016725119352591616
0.08147674799127519,0.1199471879091389,0.8262559462796162,0.7191645385017968,9.13830870420767e-05,0.016386982139161697
0.11179163730144576,0.09984161226517045,0.45739014128037925,0.8449814358844074,0.00010406147072021088,0.02151650887239178
0.09219005877426319,0.09500778166643113,0.6587302541390931,0.7888150827054248,9.53970269166573e-05,0.017290139517803452
0.1061238428986494,0.10043039518051528,0.40763981509916464,0.7374477942761755,9.726945943436491e-05,0.01901623983198751
0.08079132485289803,0.11432629315254964,0.5129429915392603,0.6879059121583007,9.476017736777851e-05,0.017756516766797504
0.11268310680355903,0.0852750811155967,0.7038242029084043,0.9642827280950601,8.997430764345657e-05,0.016321920487625815
0.052714126880371234,0.10637222481144477,0.7065559054294756,0.7682076663379289,9.75073283030652e-05,0.01870578161279664
0.0846046962833502,0.11024014058249991,0.573951312466586,0.6190487157403154,9.366413236021472e-05,0.017440892902427597
0.06195713694768358,0.09493206016956596,0.3438207238005801,0.8434227785738049,0.00011116306382009178,0.025642149400160637
0.06252300033090133,0.09765272884896874,0.43262605854517344,0.8994077672137935,0.00010252828973385743,0.020738036055817612
0.07499701978784475,0.08991346474354735,0.49136079432607305,0.8970032687608149,0.00010400355141356315,0.021798612095691252
0.07611091260370315,0.0949778435505009,0.40343645480019236,0.7160377398482247,9.946790291016675e-05,0.020251627131743718
0.10293697673699527,0.08795412689106617,0.3384882194965302,0.9202064085929524,0.00010236273875075151,0.021643347150836854
0.07453378884247802,0.08147479939408926,0.6580811338623851,0.6381596174654033,9.843716628804114e-05,0.018850295212238518
0.06820480100386511,0.0993593241431808,0.7996974035898601,0.7365948442881464,9.415323074390764e-05,0.017398449227942578
0.07605560468422783,0.08205191431275045,0.6350692341687119,0.663237977564312,9.578727673945704e-05,0.01777992098215653
0.05640559512843618,0.10567602491719141,0.5333546423159443,0.7621685891225443,0.00010887903429469803,0.02453707826559613
0.05783070890750297,0.09524144478437023,0.48463937884401953,0.6957106183758079,9.935958859821986e-05,0.019327937960265065
0.08356086205106848,0.11000784629914526,0.8188447161447872,0.867313571634494,8.953022257476303e-05,0.01574479176172945
0.06019056058627349,0.1088198587018449,0.3870679220993578,0.7969314614349223,0.00010008157247026953,0.020418331884100943
0.08735897632445977,0.09160658853900172,0.8444092003415755,0.7497165329544132,0.00010240900037035983,0.02230859935547635
0.0815747320543285,0.08891443928838565,0.8501472976474993,0.8596114265031503,9.209655758861526e-05,0.01673893490943081
0.058387533984976696,0.08456207366195564,0.5842907264966772,0.6283715141688834,9.932713340945687e-05,0.01899252262373511
0.08107981110233188,0.09616558668499427,0.8671274965598594,0.7972385539447805,9.458797422990086e-05,0.01798396329987945
0.09636191934799718,0.09777285129987093,0.45238346308835203,0.840892818866695,9.662755973138656e-05,0.01877861184972099
0.05545107103346209,0.08138527405822676,0.3707809301804764,0.6540675516176151,0.00010865423799522123,0.02381710105595785
0.07555333794733823,0.08709153833655585,0.5736705383142193,0.7928098764254947,9.343429723260353e-05,0.01732025025015724
0.11468020977257186,0.09158429752204716,0.6726628256528462,0.6568695875171253,0.00010438134795238651,0.02212481627985413
0.057749970525417506,0.09079231698950627,0.6905111164927524,0.7589429443307686,9.787553717812763e-05,0.018681042100730204
0.06444879885254151,0.08740880603537793,0.8407214051377878,0.9995541067772955,0.00010210003496512121,0.021673611513743824
0.07795807716208941,0.10388186520827034,0.42430015362278817,0.8052666542186411,0.00010162919367805756,0.020640624134283636
0.051123793837735805,0.1092558967859614,0.3646520592057137,0.6838237572869119,0.00010658598062447466,0.022649600704760603
0.05773321464460352,0.11791372412493012,0.7389059204409341,0.614149574260675,8.996085550500985e-05,0.015977757166365177
0.050061464483541436,0.11554111140556077,0.6372635932080091,0.9261719696132182,0.0001033959539966573,0.02171490836153521
